feature_importance,feature_names
9.775128208372125,FEN_IndoorArea
8.00688798452265,FEN_YearAfterRemode
7.865194009299614,FEN_Area_comp2
6.1492078434862325,BsmtQual
5.523919680190975,Neighborhood
5.084397358813242,OverallQual
4.702521900717728,FEN_Area_comp0
4.449776933347583,FEN_Area_comp4
4.053901165963289,KitchenQual
3.9933633335595493,FEN_YearAfterbuilt
3.0609424572658512,OverallCond
2.731292323508687,BsmtExposure
2.539523833518281,BsmtFinType1
1.980862623227676,KitchenAbvGr
1.5854401746868318,GarageCond
1.5740385366018386,SaleCondition
1.1139949627715218,Functional
1.086431547284019,CentralAir
1.0598488636537873,MSSubClass
1.0094076445334124,MSZoning
1.0069146476753363,GarageCars
1.0057546471806533,FEN_Area_comp1
1.0007201881267362,LandContour
0.8464506535474953,FEN_Area_comp5
0.8348955090029201,HalfBath
0.7500129883856933,FEC_BsmtCond_dual
0.7292881239177377,BldgType
0.6833991145923377,GarageQual
0.6652498754998367,Exterior1st
0.6565141906743192,MoSold
0.640594796845256,FEN_TotRmsAbvGrd_Per_GrLivArea
0.6355512832939613,LotShape
0.6193564170738873,LotFrontage
0.5483299140112619,Fireplaces
0.5349400714342653,FEN_Area_comp3
0.5325782428323244,Fence
0.5246966106156586,SaleType
0.4808408832464507,Condition1
0.47994304775177565,FireplaceQu
0.42013909796292903,FEN_GrLivTotalbath
0.41953029644920675,HouseStyle
0.41348981301407883,ExterQual
0.40894358042300905,FEC_GarageQual_dual
0.40459551258460097,YearRemodAdd
0.4029862846866759,FEC_FireplaceQu_dual
0.39576552427249984,FEN_Area_comp7
0.3870894911395511,BsmtCond
0.3840103878096655,BedroomAbvGr
0.371789536511943,MasVnrType
0.36480908327433975,TotRmsAbvGrd
0.30589931702835876,BsmtFullBath
0.28879097289127564,GarageType
0.2885897240468498,GarageFinish
0.2871694218067724,PoolQC
0.2784562779039513,YrSold
0.2358688462963845,FEC_ScreenPorch_dual
0.23502871092926836,Exterior2nd
0.2238750834469742,Foundation
0.22164985057377992,FullBath
0.2071237550644908,RoofMatl
0.20015894781797894,YearBuilt
0.1919987951545773,HeatingQC
0.18794211864361135,LotConfig
0.17465913270186142,FEC_Fireplaces_dual
0.16632231494123115,RoofStyle
0.14374413487224105,FEC_BsmtFullBath_dual
0.1357987008757277,FEC_GarageCars_dual
0.1256269222375048,PavedDrive
0.12533354437745794,LandSlope
0.11784982248648099,FEC_EnclosedPorch_dual
0.11290267887883178,ExterCond
0.10318225999442218,FEC_PoolArea_dual
0.07607974338729481,Electrical
0.07480893205401212,FEC_WoodDeckSF_dual
0.06749493651383448,MiscFeature
0.0613906231726816,BsmtHalfBath
0.06118463517127212,FEC_HalfBath_dual
0.0510174162874015,FEC_OpenPorchSF_dual
0.04272000697865205,Alley
0.03778240466586926,FEC_LowQualFinSF_dual
0.036649513434413375,FEC_BsmtFinType1_dual
0.03525143750285818,FEC_Fence_dual
0.03450823836023528,BsmtFinType2
0.030588812730356067,FEC_BsmtHalfBath_dual
0.02540223171059775,FEN_BsmtTotalbath
0.023459094478240926,Heating
0.02197557846618536,MiscVal
0.018629786533950605,Condition2
0.01576590095649888,GarageYrBlt
0.009415745740332349,FEC_2ndFlrSF_dual
0.009072141815015379,FEC_3SsnPorch_dual
0.008005548773280398,FEC_PoolQC_dual
0.0055647391357023625,Street
0.0,FEC_GarageFinish_dual
0.0,FEC_MasVnrArea_dual
0.0,FEC_BsmtFinSF1_dual
0.0,FEC_BsmtFinSF2_dual
0.0,FEC_BsmtUnfSF_dual
0.0,FEC_TotalBsmtSF_dual
0.0,FEC_1stFlrSF_dual
0.0,FEC_GarageArea_dual
0.0,FEC_LotShape_dual
0.0,FEC_GrLivArea_dual
0.0,FEC_GarageYrBlt_dual
0.0,FEC_ExterQual_dual
0.0,Utilities
0.0,FEC_MiscVal_dual
0.0,FEC_LotArea_dual
0.0,FEC_YrSold_dual
0.0,FEC_GarageCond_dual
0.0,FEC_MoSold_dual
0.0,FEC_PavedDrive_dual
0.0,FEC_KitchenQual_dual
0.0,FEC_Functional_dual
0.0,FEC_Alley_dual
0.0,FEC_OverallQual_dual
0.0,FEC_OverallCond_dual
0.0,FEC_HeatingQC_dual
0.0,FEC_BsmtFinType2_dual
0.0,FEC_FullBath_dual
0.0,FEC_BsmtExposure_dual
0.0,FEC_BedroomAbvGr_dual
0.0,FEC_KitchenAbvGr_dual
0.0,FEC_TotRmsAbvGrd_dual
0.0,FEC_BsmtQual_dual
0.0,FEC_ExterCond_dual
0.0,FEC_YearBuilt_dual
0.0,FEC_YearRemodAdd_dual
0.0,FEC_LotFrontage_dual
